5.177331091827513943e-01 1.025177331091825721e+02 2.055633142684592940e+02 3.075633142684587256e+02 3.994366857315406492e+02 5.014366857315409902e+02 6.023827862689654467e+02 7.043827862689654467e+02 0.000000000000000000e+00
1.855545672517347755e-01 1.025200027277866468e+02 2.064247661345547158e+02 3.087592142950892935e+02 4.005819228286559337e+02 5.029163709891914209e+02 6.043887109110719393e+02 7.067231590716072560e+02 3.344481605351170561e-01
-1.210704273410930787e-01 1.025478258937289411e+02 2.073133403780243782e+02 3.099822366990940736e+02 4.017000375483970060e+02 5.043689338694676394e+02 6.065476853024885031e+02 7.092165816235590228e+02 6.688963210702341122e-01
-3.681626451977811354e-01 1.026351818364073694e+02 2.081106450342489893e+02 3.111139895158538025e+02 4.029094218553830729e+02 5.059127663369888523e+02 6.087205659991343509e+02 7.117239104807400736e+02 1.003344481605351168e+00
-5.283401117515600376e-01 1.028094525303887110e+02 2.088208969111305748e+02 3.121586895532704489e+02 4.042058589417122221e+02 5.075436515838531477e+02 6.107961281094317201e+02 7.141339207515726457e+02 1.337792642140468224e+00
-5.838524951819402675e-01 1.030883883074934744e+02 2.094950665849038955e+02 3.131673073875788873e+02 4.055383782311495224e+02 5.092106190338255374e+02 6.128114168120131353e+02 7.164836576146892639e+02 1.672240802675585281e+00
-5.285480693973014787e-01 1.034781408938132330e+02 2.101639006071484346e+02 3.141705895703585725e+02 4.068762331721155761e+02 5.108829221353266234e+02 6.148177949889993670e+02 7.188244839522103575e+02 2.006688963210702337e+00
-3.685554995116961940e-01 1.039725816242339675e+02 2.108329243605585930e+02 3.151740614843038202e+02 4.082138983819160103e+02 5.125550355056622038e+02 6.168106060663807284e+02 7.211517431901268083e+02 2.341137123745819615e+00
-1.216046495782949349e-01 1.045539806347024694e+02 2.114977212585827715e+02 3.161733065428632017e+02 4.095557904471024813e+02 5.142313757313838778e+02 6.187530306020507851e+02 7.234286158863320679e+02 2.675585284280936449e+00
1.849381748803746173e-01 1.051949716196962754e+02 2.121558589367254228e+02 3.171658923815410276e+02 4.109043417321704510e+02 5.159143751769870505e+02 6.206172181182256509e+02 7.256272515630420230e+02 3.010033444816053283e+00
